"Factor_level","B","CI_lower","CI_upper","N","Min","Max","Analysis"
"Monogyny",0.345977907855701,0.280100599018624,0.40513663116144,36,0.0023094688221709,0.552750565184627,"Queen_number_Size_variation_monomorphic"
"Facultative polygyny",-0.00934860425477876,-0.0713921480928548,0.0555410757369827,36,0.0108499095840868,0.427929182905744,""
"Obligate polygyny",-0.0728089580296297,-0.223592162466957,0.0835500452085398,3,0.0268050060753341,0.118,""
