"Factor_level","B","CI_lower","CI_upper","N","Min","Max","Analysis"
"Monogyny",0.280921843318445,0.065940495551331,0.466369118788862,121,1,4,"Queen_number_Caste"
"Facultative polygyny",-0.110614773003334,-0.380360721625038,0.149997786582389,82,1,4,""
"Obligate polygyny",-0.181607489550037,-0.770579135016305,0.357617780831788,13,1,2,""
