"Factor_level","B","CI_lower","CI_upper","N","Min","Max","Analysis"
"Monandry",0.317364099096207,0.167972942552296,0.455987065914087,45,0.0108499095840868,0.473080216725292,"Mating_frequency_Size_variation"
"Facultative polyandry",0.0875861430893196,0.0169302179128863,0.15557312083547,30,0.0023094688221709,0.766935483870968,""
"Obligate polyandry",0.164712858146333,0.0783578433474759,0.25180269244629,30,0.0404309561302299,0.577036835347427,""
