"Factor_level","B","CI_lower","CI_upper","N","Min","Max","Analysis"
"Monogyny",2.87287541381125,2.02704748314864,3.65951069197035,121,8,14750000,"Queen_number_Colony_size"
"Facultative polygyny",-0.0233147196460451,-0.335950968990801,0.251388444206896,81,12.08,5e+05,""
"Obligate polygyny",0.025608414414273,-0.566793334728573,0.594200792733261,13,54.5,3e+05,""
