"","Rate","Transition","Median","Mean","X95..HPD.interval","X..Zero","ESS"
"alpha1","alpha1","Monandrous to obligately polyandrous",3.52,3.64,"[1.92, 5.7]",0,1784.42
"beta1","beta1","Obligately polyandrous to monandrous",0,0.6,"[0, 4.16]",0.84,2000
"alpha2","alpha2","Single caste to multiple castes",3.51,3.61,"[1.92, 5.74]",0.01,1759.25
"beta2","beta2","Multiple castes to single caste",3.36,3.14,"[0, 5.37]",0.15,2086.44
