"","Rate","Number.of.castes","Colony.size","Median","Mean","X95..HPD.interval","X..Zero","ESS"
"q12","q12","Single to multiple","Small",0,0,"[0, 0]",1,0
"q13","q13","Single","Small to large",9.61,9.63,"[5.63, 13.26]",0,1530.63
"q21","q21","Multiple to single","Small",9.5,8.46,"[0, 19.72]",0.32,2000
"q24","q24","Multiple","Small to large",10.63,11.16,"[0, 21.92]",0.12,1201.17
"q31","q31","Single","Large to small",11.36,12.89,"[7.13, 22.97]",0,1707.33
"q34","q34","Single to multiple","Large",9.76,9.85,"[5.53, 14.14]",0,1443.71
"q42","q42","Multiple","Large to small",11.23,12.58,"[6.99, 22.09]",0,1724.33
"q43","q43","Multiple to single","Large",10.42,11.23,"[5.57, 21.03]",0.01,1738.25
